Class     Images  Instances          P          R      mAP50   mAP50-95
  w42       2118          3      0.295      0.333      0.254      0.187
 il50       2118          6      0.817      0.833      0.904      0.664
  p13       2118         65      0.648      0.766      0.769      0.476
 pr40       2118         40      0.895      0.975      0.972      0.783
  p25       2118          9      0.897      0.667       0.88      0.656
  w41       2118          1          1          0          0          0
 pl20       2118         24      0.654      0.625      0.695       0.45
ph4.8       2118          4          1          0    0.00538     0.0045
 pnlc       2118          1          1          0          0          0
ph3.3       2118          6       0.41      0.167      0.321      0.241
 pm30       2118         18      0.563      0.667      0.725      0.611
  p21       2118          1          1          0          0          0
 pl40       2118        286      0.778      0.782      0.854       0.61
  pmb       2118         11          1      0.536       0.67       0.55
   pc       2118          1          1          0          0          0
 pr20       2118          6      0.737          1      0.995       0.84
  p18       2118         19       0.87      0.368      0.585      0.433
ph3.8       2118          1          1          0          0          0
 pm50       2118          3          1          0     0.0805     0.0672
 pm25       2118          4          1      0.646      0.755      0.616
   i2       2118         78      0.689      0.846       0.83      0.551
  w22       2118          5      0.161      0.462      0.433      0.315
  w47       2118          8      0.594      0.368      0.327      0.225
pl120       2118         62      0.623      0.823      0.864      0.664
ph2.8       2118          3          1          0      0.394      0.331
pm2.5       2118          1          1          0          0          0
  w32       2118         21      0.681      0.714      0.754       0.39
 pm15       2118          6      0.555        0.5      0.569      0.466
  ph5       2118         22       0.38      0.545      0.509       0.39
pw3.2       2118          4          1          0      0.603      0.556
 pl10       2118          9          1      0.551      0.635       0.48
 il60       2118        107      0.824      0.972      0.965       0.74
  w57       2118         77      0.801      0.784      0.856       0.55
  w48       2118          1          1          0          0          0
  w60       2118          1          1          0      0.995      0.298
pl100       2118        134      0.805        0.8      0.883      0.698
 pr80       2118          1      0.302          1      0.995      0.895
  p16       2118          4          1          0     0.0757     0.0559
pl110       2118         11      0.824      0.428      0.708      0.499
  w59       2118         50      0.683       0.86      0.794      0.516
  w20       2118          5          1          0      0.104     0.0756
  ph2       2118          3          1          0      0.191      0.129
   p9       2118         11      0.516      0.545      0.584      0.431
il100       2118         24      0.715      0.838      0.897      0.659
ph2.4       2118          2          1          0      0.168      0.101
  p19       2118         21      0.626      0.571      0.631      0.474
ph3.5       2118          2          1          0      0.173      0.154
 pa10       2118          1       0.17          1      0.199      0.159
  pcl       2118         21      0.856      0.567      0.686      0.513
 pl35       2118          4          0          0     0.0806     0.0703
  p15       2118          3          1          0          0          0
  w43       2118          2          1          0      0.019     0.0148
  p28       2118          1          1          0      0.497      0.274
   w3       2118          4          1          0     0.0993     0.0691
il110       2118          4      0.209       0.25      0.456      0.319
   p1       2118         14      0.701        0.5       0.51      0.391
  w46       2118          2          1          0    0.00727    0.00582
  w44       2118          1          1          0      0.332      0.265
  w63       2118         23      0.685      0.568      0.635      0.379
 pm20       2118         26      0.648       0.85      0.815       0.62
   i5       2118        371      0.896      0.922      0.949      0.626
 il90       2118         18      0.781      0.596      0.857      0.655
  w21       2118          8      0.455      0.625      0.585      0.424
  p27       2118         33      0.706      0.667      0.747       0.57
 pl50       2118        209      0.708      0.753      0.793      0.551
ph2.2       2118          1          1          0     0.0369     0.0332
  pm2       2118          1          1          0          0          0
   i3       2118          2          1          0    0.00496    0.00347
  pw4       2118          3          1          0          0          0
